PRECINCT,TOTVOTE,P_HABIB,P_MCCLEND,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
138,798,0.493734336,0.506265664,0.104041916,0.849550898,0.004491018,0.041916168,0.915243071,0.00000095,0.06363413,0.021121849
139,701,0.403708987,0.596291013,0.08045977,0.888250319,0.008301405,0.022988506,0.754524092,0.047707457,0.152700682,0.045067769
140,598,0.525083612,0.474916388,0.419827586,0.499568966,0.022413793,0.058189655,0.633144345,0.002350094,0.329564788,0.034940773
142,343,0.402332362,0.597667638,0.107352941,0.852941176,0.007352941,0.032352942,0.528386471,0.000000126,0.467006553,0.00460685
143,204,0.62254902,0.37745098,0.532374101,0.425899281,0.007194245,0.034532373,0.541702233,0,0.458293495,0.000004272
144,2,0,1,0.3,0.4,0,0.3,0.528409091,0.017045455,0.4375,0.017045454
145,467,0.584582441,0.415417559,0.536997886,0.40521494,0.016208598,0.041578576,0.456322141,0.013414352,0.47659201,0.053671497
150,418,0.540669856,0.459330144,0.394516375,0.543792841,0.021325209,0.040365575,0.720116059,0.064932823,0.204921186,0.010029932
153,611,0.35188216,0.64811784,0.146853147,0.787212787,0.008991009,0.056943057,0.792447463,0,0.153564042,0.053988495
154,750,0.464,0.536,0.230448384,0.68717414,0.013555787,0.068821689,0.670973369,0.012095165,0.285436696,0.03149477
155,615,0.419512195,0.580487805,0.160482375,0.785714286,0.008348794,0.045454545,0.834902797,0.00000158,0.125001983,0.04009364
156,389,0.473007712,0.526992288,0.482157018,0.468675654,0.014274385,0.034892943,0.431494111,0.0000252,0.532285319,0.03619537
158,252,0.611111111,0.388888889,0.463529412,0.477647059,0.018823529,0.04,0.756172852,0.008679061,0.226433595,0.008714492
162,187,0.422459893,0.577540107,0.258169935,0.676470588,0,0.065359477,0.858906745,0.000235148,0.100007968,0.040850139
163,664,0.346385542,0.653614458,0.079572447,0.871733967,0.009501188,0.039192398,0.825744827,0.0000043,0.164409173,0.0098417
167,698,0.392550143,0.607449857,0.122562674,0.834726091,0.00371402,0.038997215,0.865968703,0.000000303,0.096231552,0.037799442
168,585,0.381196581,0.618803419,0.068831169,0.874025974,0.007792208,0.049350649,0.816650516,0,0.153743149,0.029606335
169,847,0.363636364,0.636363636,0.113191489,0.830638298,0.008510638,0.047659575,0.661575085,0.0000038,0.189276973,0.149144142
170,298,0.486577181,0.513422819,0.178981938,0.748768473,0.006568144,0.065681445,0.808645388,0,0.178477799,0.012876813
171,264,0.450757576,0.549242424,0.087064677,0.838308458,0.012437811,0.062189054,0.775802884,0,0.216250394,0.007946722
173,491,0.403258656,0.596741344,0.18597237,0.751328374,0.009564293,0.053134963,0.876772127,0.0000105,0.092910049,0.030307324
175,293,0.406143345,0.593856655,0.189045936,0.754416961,0.003533569,0.053003534,0.83484454,0,0.125067246,0.040088214
177,747,0.364123159,0.635876841,0.117647059,0.834453782,0.008403361,0.039495798,0.823136586,0.006193139,0.139696506,0.030973769
179,693,0.378066378,0.621933622,0.112244898,0.838435374,0.013605442,0.035714286,0.790311623,0.004496416,0.145969842,0.059222119
180,418,0.282296651,0.717703349,0.092764378,0.844155844,0.001855288,0.06122449,0.788062291,0.001098189,0.185571998,0.025267522
181,744,0.330645161,0.669354839,0.142210145,0.798913043,0.008152174,0.050724638,0.852290647,0.00000935,0.114594249,0.033105754
182,938,0.315565032,0.684434968,0.093360996,0.854771784,0.002766252,0.049100968,0.856579904,0,0.136321272,0.007098824
183,584,0.340753425,0.659246575,0.084179971,0.869375907,0.002902758,0.043541364,0.902259505,0,0.086954703,0.010785792
184,627,0.464114833,0.535885167,0.401651287,0.531811559,0.019426906,0.047110248,0.626901516,0.058249832,0.267819841,0.047028811
185,684,0.302631579,0.697368421,0.117312073,0.841685649,0.007972665,0.033029613,0.900091445,0,0.090373921,0.009534634
186,842,0.380047506,0.619952494,0.15975976,0.778978979,0.012012012,0.049249249,0.762745184,9.18E-08,0.189650777,0.047603947
187,619,0.323101777,0.676898223,0.131801693,0.796856106,0.009673519,0.061668682,0.848,0,0.12,0.032
188,1055,0.306161137,0.693838863,0.131975199,0.781222321,0.014171833,0.072630647,0.861144276,0.00348857,0.123682369,0.011684785
189,579,0.300518135,0.699481865,0.098300971,0.82038835,0.001213592,0.080097087,0.847772979,0,0.120124082,0.032102939
190,386,0.334196891,0.665803109,0.136655949,0.829581994,0.003215434,0.030546623,0.770301527,0,0.162197313,0.06750116
191,2,1,0,0.666666667,0.333333333,0,0,0.848,0,0.12,0.032
301,167,0.694610778,0.305389222,0.806451613,0.180351906,0.002932551,0.01026393,0.314673139,0,0.665043259,0.020283602
302,450,0.566666667,0.433333333,0.788754598,0.196531792,0.005780347,0.008933263,0.282166989,0.0000651,0.711720335,0.006047576
303,500,0.662,0.338,0.804429586,0.182615963,0.000417885,0.012536566,0.360067272,0.004481975,0.632624398,0.002826355
304,173,0.433526012,0.566473988,0.506622517,0.493377483,0,0,0.340911102,0.00000183,0.659086151,0.000000917
305,17,0.529411765,0.470588235,0.262295082,0.704918033,0,0.032786885,0.468095655,0.12016145,0.352174505,0.05956839
306,586,0.520477816,0.479522184,0.614712309,0.351784414,0.002913328,0.030589949,0.346291154,0.004899702,0.646359312,0.002449832
307,46,0.304347826,0.695652174,0.40625,0.484375,0.015625,0.09375,0.605581528,0,0.363458837,0.030959635
501,577,0.693240901,0.306759099,0.8363047,0.138843868,0.01458671,0.010264722,0.207331852,0.006855126,0.738788764,0.047024258
701,156,0.583333333,0.416666667,0.516587678,0.267772512,0.168246445,0.047393365,0.256637168,0.185840708,0.504424779,0.053097345
901,298,0.795302013,0.204697987,0.893939394,0.098124098,0.000721501,0.007215007,0.138306656,0.002520874,0.847941839,0.011230631
1101,649,0.346687211,0.653312789,0.342963653,0.616029823,0.012115564,0.02889096,0.544829687,0.06487282,0.348722534,0.041574959
1103,534,0.382022472,0.617977528,0.331536388,0.610961366,0.017070979,0.040431267,0.663251207,0.049080506,0.275525728,0.012142559
1301,326,0.337423313,0.662576687,0.072390572,0.910774411,0.006734007,0.01010101,0.885482471,0.011102474,0.080019615,0.02339544
1501,524,0.341603053,0.658396947,0.209916291,0.742433999,0.00901481,0.0386349,0.852260187,0.000692957,0.102493433,0.044553423
1502,779,0.320924262,0.679075738,0.087596356,0.878065872,0.010511563,0.023826209,0.902041805,0.006306703,0.045353524,0.046297968
1503,630,0.322222222,0.677777778,0.084896347,0.879565647,0.012833169,0.022704837,0.866453098,0.004491541,0.109410904,0.019644457
1504,756,0.338624339,0.661375661,0.125208681,0.842237062,0.010016694,0.022537563,0.934912328,0.01860886,0.023239855,0.023238957
1701,486,0.66872428,0.33127572,0.85478699,0.13376088,0.001374256,0.010077874,0.202677235,0.001335162,0.79455261,0.001434993
1702,40,0.35,0.65,0.25,0.678571429,0.035714286,0.035714285,0.434898661,0,0.565101339,0
1703,440,0.527272727,0.472727273,0.663027656,0.297671033,0.009461426,0.029839885,0.265212349,0.021171996,0.694795137,0.018820518
1705,557,0.441651706,0.558348294,0.412140575,0.553780618,0.004259851,0.029818956,0.317540977,0.005359069,0.669610161,0.007489793
1706,592,0.694256757,0.305743243,0.779672578,0.196111869,0.003410641,0.020804912,0.30441089,0.004914958,0.669199548,0.021474604
1708,485,0.635051546,0.364948454,0.847038773,0.139752876,0.006391138,0.006817213,0.28309752,0.009004603,0.705311396,0.002586481
1901,257,0.470817121,0.529182879,0.573957016,0.400758534,0.01011378,0.01517067,0.437633966,0.005919247,0.488375447,0.06807134
2101,563,0.728241563,0.271758437,0.790720155,0.109231513,0.079265346,0.020782986,0.198698403,0.044616524,0.737152761,0.019532312
2102,476,0.705882353,0.294117647,0.683251577,0.195515067,0.101611773,0.019621583,0.237191028,0.114729397,0.592745055,0.05533452
2103,598,0.737458194,0.262541806,0.847215612,0.089481199,0.050928129,0.01237506,0.112245731,0.101466615,0.731072916,0.055214738
2301,465,0.468817204,0.531182796,0.392106938,0.562062381,0.022915341,0.02291534,0.590992312,0.028905233,0.364042295,0.01606016
2303,404,0.415841584,0.584158416,0.362725451,0.597194389,0.011022044,0.029058116,0.711298207,0.049796369,0.210568822,0.028336602
2306,618,0.444983819,0.555016181,0.372615039,0.588103255,0.014029181,0.025252525,0.74847124,0.019159721,0.215783306,0.016585733
2501,421,0.748218527,0.251781473,0.788617886,0.106647537,0.076518412,0.028216165,0.107898185,0.254456512,0.594403317,0.043241986
2502,243,0.83127572,0.16872428,0.805502846,0.131878558,0.040796964,0.021821632,0.135339352,0.131231568,0.64930029,0.08412879
2701,303,0.392739274,0.607260726,0.368174727,0.553822153,0.046801872,0.031201248,0.61576164,0.003715915,0.374961844,0.005560601
2702,687,0.334788937,0.665211063,0.334725122,0.620041754,0.020876827,0.024356297,0.688730815,0.046351243,0.241741768,0.023176174
3002,154,0.337662338,0.662337662,0.230971129,0.291338583,0.43832021,0.039370078,0.402838823,0.341863289,0.166245073,0.089052815
3004,22,0.454545455,0.545454545,0,0.833333333,0,0.166666667,0.850067299,0.00036916,0.121015191,0.02854835
3101,853,0.357561547,0.642438453,0.47845805,0.49829932,0.005102041,0.018140589,0.521965694,0.066649245,0.369476205,0.041908856
3102,547,0.539305302,0.460694698,0.400431344,0.31488138,0.214234364,0.070452912,0.381560321,0.276586042,0.308106437,0.0337472
3103,411,0.613138686,0.386861314,0.372222222,0.257407407,0.337037037,0.033333334,0.364715435,0.273182187,0.325429535,0.036672843
3104,479,0.361169102,0.638830898,0.522515528,0.427795031,0.024068323,0.025621118,0.492715721,0.000497616,0.49710979,0.009676873
3105,72,0.263888889,0.736111111,0.551912568,0.431693989,0,0.016393443,0.426909314,0.024457365,0.536398899,0.012234422
3106,513,0.30214425,0.69785575,0.127439724,0.814006889,0.012629162,0.045924225,0.884070352,0.0000132,0.07896423,0.036952218
3203,650,0.212307692,0.787692308,0.074935401,0.896640827,0.007751938,0.020671834,0.873594658,0.00000241,0.101342224,0.025060708
3204,68,0.294117647,0.705882353,0,0.98,0,0.02,0.944885498,0.00702357,0.030868203,0.017222729
3205,821,0.272838002,0.727161998,0.101095198,0.860151643,0.00758214,0.031171019,0.863726635,0.008900214,0.104881861,0.02249129
3206,659,0.308042489,0.691957511,0.100441501,0.8598234,0.014348786,0.025386313,0.892890678,0.035234523,0.036552172,0.035322627
3208,100,0.3,0.7,0.118343195,0.798816568,0.023668639,0.059171598,0.791077645,0,0.171813874,0.037108481
3301,426,0.300469484,0.699530516,0.113854595,0.829903978,0.009602195,0.046639232,0.913530073,0.0000425,0.043237438,0.043189989
3303,280,0.385714286,0.614285714,0.534638554,0.435240964,0.013554217,0.016566265,0.447985868,0.000532742,0.523980343,0.027501047
3304,596,0.280201342,0.719798658,0.216350947,0.751744766,0.012961117,0.01894317,0.709381668,0.000659345,0.209538463,0.080420524
3305,517,0.199226306,0.800773694,0.096969697,0.877575758,0.004848485,0.02060606,0.816208562,0.024728124,0.102464901,0.056598413
3306,285,0.196491228,0.803508772,0.189952904,0.79277865,0.004709576,0.01255887,0.862073057,0.00819251,0.085054878,0.044679555
3308,560,0.2875,0.7125,0.295275591,0.677165354,0.000984252,0.026574803,0.652330756,0.034650626,0.30034645,0.012672168
3309,437,0.588100686,0.411899314,0.385043755,0.270485282,0.306284805,0.038186158,0.264247219,0.450197978,0.244276968,0.041277835
3310,589,0.578947368,0.421052632,0.482568807,0.251987768,0.168807339,0.096636086,0.321721345,0.198189759,0.364813371,0.115275525
3311,934,0.29764454,0.70235546,0.254270696,0.710906702,0.015111695,0.019710907,0.680606623,0.004029774,0.296595491,0.018768112
3313,191,0.162303665,0.837696335,0.082969432,0.895196507,0.013100437,0.008733624,0.9161918,0.035176242,0.001152482,0.047479476
3401,283,0.674911661,0.325088339,0.342679128,0.178608515,0.431983385,0.046728972,0.202802255,0.29425004,0.437697313,0.065250392
3504,20,0.05,0.95,0.047619048,0.857142857,0,0.095238095,0.898045494,0.003824825,0.096206146,0.001923535
3601,47,0.106382979,0.893617021,0.272727273,0.709090909,0,0.018181818,0.426824678,0.024440664,0.536526287,0.012208371
3602,878,0.257403189,0.742596811,0.054669704,0.909643128,0.007593014,0.028094154,0.854923775,0.019472169,0.067137838,0.058466218
3605,583,0.209262436,0.790737564,0.099219621,0.863991081,0.008918618,0.02787068,0.886649644,0.009047481,0.083828575,0.0204743
3701,468,0.431623932,0.568376068,0.335870599,0.326355852,0.306374881,0.031398668,0.391577475,0.283607108,0.262887275,0.061928142
3900,620,0.238709677,0.761290323,0.072340426,0.885106383,0.005319149,0.037234042,0.875318366,0.023116888,0.033753625,0.067811121
3901,326,0.153374233,0.846625767,0.076448829,0.905055487,0.004932182,0.013563502,0.86268741,0.035208159,0.073923153,0.028181278
3902,254,0.472440945,0.527559055,0.475046211,0.480591497,0.022181146,0.022181146,0.595385377,0,0.387923661,0.016690962
3903,853,0.245017585,0.754982415,0.08988764,0.877340824,0.011235955,0.021535581,0.864579926,0.021660619,0.061814511,0.051944944
3904,196,0.275510204,0.724489796,0.030769231,0.926923077,0.019230769,0.023076923,0.904291671,0.00703146,0.029199247,0.059477622
3905,187,0.229946524,0.770053476,0.160493827,0.796296296,0.009259259,0.033950618,0.901399808,0.031754621,0.017911407,0.048934164
4001,241,0.56846473,0.43153527,0.35538262,0.216601816,0.386511025,0.041504539,0.235200418,0.48547362,0.241388285,0.037937677
4003,819,0.316239316,0.683760684,0.299071207,0.66873065,0.009287926,0.022910217,0.715594937,0.018125575,0.229355979,0.036923509
4005,335,0.244776119,0.755223881,0.167896679,0.804428044,0.001845018,0.025830259,0.873922386,0.008993127,0.115741574,0.001342913
4101,230,0.273913043,0.726086957,0.256345178,0.700507614,0.012690355,0.030456853,0.853036643,0.016880569,0.028148124,0.101934664
4102,531,0.193973635,0.806026365,0.030263158,0.947368421,0.003947368,0.018421053,0.944756965,0.007111693,0.031657427,0.016473915
4104,452,0.384955752,0.615044248,0.376857749,0.590233546,0.008492569,0.024416136,0.586840882,0.006520005,0.272367776,0.134271337
4105,270,0.32962963,0.67037037,0.473684211,0.504537205,0.00907441,0.012704174,0.567485926,0.007769427,0.406169747,0.0185749
4106,500,0.272,0.728,0.156578947,0.811842105,0.007894737,0.023684211,0.885984293,0.010198102,0.090736695,0.01308091
4108,437,0.274599542,0.725400458,0.077205882,0.895220588,0.011029412,0.016544118,0.895072344,0.01639568,0.045526758,0.043005218
4109,722,0.389196676,0.610803324,0.534969325,0.44601227,0.004294479,0.014723926,0.508408722,0.001766632,0.469019682,0.020804964
4111,640,0.265625,0.734375,0.122598353,0.860018298,0.000914913,0.016468436,0.855077948,0.001987715,0.091830562,0.051103775
4112,860,0.269767442,0.730232558,0.071597168,0.891424076,0.005507474,0.031471282,0.87051743,0.013827441,0.028552891,0.087102238
4114,613,0.215334421,0.784665579,0.103762828,0.859749145,0.015963512,0.020524515,0.913864106,0.006128405,0.065957872,0.014049617
4115,289,0.256055363,0.743944637,0.091880342,0.888888889,0.008547009,0.01068376,0.93010067,0.018075939,0.018789473,0.033033918
4303,193,0.32642487,0.67357513,0.489130435,0.495652174,0.002173913,0.013043478,0.566618784,0,0.411960507,0.021420709
4401,292,0.325342466,0.674657534,0.35177305,0.577304965,0.024113475,0.04680851,0.624123384,0.000377464,0.323525099,0.051974053
4402,438,0.248858447,0.751141553,0.109546166,0.848200313,0.009389671,0.03286385,0.862816213,0.009200032,0.085740818,0.042242937
4501,164,0.365853659,0.634146341,0.117505995,0.829736211,0.016786571,0.035971223,0.915501282,0.000104014,0.013065409,0.071329295
4503,57,0.245614035,0.754385965,0.071428571,0.885714286,0.014285714,0.028571429,0.943257892,0.0080969,0.040540694,0.008104514
4504,439,0.284738041,0.715261959,0.12,0.84173913,0.005217391,0.033043479,0.844323531,0.021098403,0.071316079,0.063261987
4601,251,0.370517928,0.629482072,0.06440678,0.888135593,0.006779661,0.040677966,0.672796321,0,0.250704641,0.076499038
4602,299,0.314381271,0.685618729,0.210696921,0.76012966,0.01458671,0.014586709,0.861395831,0.012077261,0.054808634,0.071718274
4603,658,0.253799392,0.746200608,0.093784079,0.869138495,0.009814613,0.027262813,0.911136208,0.020849173,0.013454646,0.054559973
4604,293,0.245733788,0.754266212,0.07826087,0.889855072,0,0.031884058,0.882513291,0.016610862,0.061269129,0.039606718
4605,4,0,1,0,0.833333333,0,0.166666667,0.845744681,0,0.135638298,0.018617021
4606,705,0.346099291,0.653900709,0.166998012,0.780318091,0.020874751,0.031809146,0.71747306,0.001947421,0.273255762,0.007323757
4608,78,0.205128205,0.794871795,0.05,0.95,0,0,0.864504927,0.014016657,0.060738806,0.06073961
4609,253,0.201581028,0.798418972,0.257611241,0.707259953,0.007025761,0.028103045,0.605504838,0.000542327,0.291811779,0.102141056
4615,448,0.399553571,0.600446429,0.586391437,0.386850153,0.012232416,0.014525994,0.459492701,0.005548272,0.511235597,0.02372343
4616,197,0.208121827,0.791878173,0.522267206,0.469635628,0,0.008097166,0.683542862,8.01E-09,0.297469707,0.018987423
4618,380,0.386842105,0.613157895,0.562002275,0.43003413,0.003412969,0.004550626,0.531910667,0.00716169,0.452510473,0.00841717
4623,80,0.3125,0.6875,0.094339623,0.688679245,0.160377358,0.056603774,0.760575191,0.027986141,0.111732213,0.099706455
4624,233,0.309012876,0.690987124,0.117166213,0.741144414,0.08719346,0.054495913,0.714746686,0.032696563,0.12761901,0.124937741
4625,10,0.1,0.9,0.214285714,0.785714286,0,0,0.899640876,0.025089798,0.007169725,0.068099601
4626,31,0.419354839,0.580645161,0.081632653,0.897959184,0,0.020408163,0.734631729,0,0.200144993,0.065223278
4627,180,0.316666667,0.683333333,0.177777778,0.8,0,0.022222222,0.934524508,0.000000435,0.037535435,0.027939622
4628,214,0.299065421,0.700934579,0.680261011,0.301794454,0.006525285,0.01141925,0.44626554,0.000000663,0.552163822,0.001569975
4801,878,0.211845103,0.788154897,0.080174927,0.887026239,0.008017493,0.024781341,0.906706773,0.009139244,0.067971168,0.016182815
4802,971,0.367662204,0.632337796,0.10949464,0.839969372,0.013016845,0.037519143,0.800415184,0.007403481,0.104701664,0.087479671
5001,158,0.474683544,0.525316456,0.587962963,0.398148148,0.002314815,0.011574074,0.477452279,0.011765558,0.50953291,0.001249253
5003,578,0.249134948,0.750865052,0.074914869,0.883087401,0.015891033,0.026106697,0.869718633,0.016420782,0.100331511,0.013529074
5010,161,0.236024845,0.763975155,0.085561497,0.877005348,0.005347594,0.032085561,0.881901133,0,0.099042363,0.019056504
5012,521,0.547024952,0.452975048,0.132201334,0.223165555,0.610673135,0.033959976,0.200855932,0.669303365,0.096022251,0.033818452
5014,561,0.233511586,0.766488414,0.113989637,0.859067358,0.009326425,0.01761658,0.884194269,0.0340463,0.064477914,0.017281517
5016,329,0.279635258,0.720364742,0.178217822,0.782178218,0.011881188,0.027722772,0.933080063,0.012739617,0.025498753,0.028681567
5020,351,0.264957265,0.735042735,0.108433735,0.847389558,0.014056225,0.030120482,0.865949045,0.009040368,0.107754267,0.01725632
5101,269,0.29739777,0.70260223,0.099667774,0.813953488,0.003322259,0.083056479,0.825725873,0.006475535,0.101505989,0.066292603
4002,204,0.421568627,0.578431373,0.661590525,0.301184433,0.018612521,0.018612521,0.317896442,0.084898697,0.567391751,0.02981311
