PRECINCT,TOTVOTE,P_AGUILAR,P_HONEY,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
2103,476,0.745798319,0.254201681,0.847215612,0.089481199,0.050928129,0.01237506,0.112245919,0.101580556,0.730918112,0.055255413
2301,415,0.438554217,0.561445783,0.392106938,0.562062381,0.022915341,0.02291534,0.590888273,0.028885524,0.364164398,0.016061805
2303,372,0.387096774,0.612903226,0.362725451,0.597194389,0.011022044,0.029058116,0.711299407,0.049798464,0.210583613,0.028318516
2306,549,0.382513661,0.617486339,0.37296691,0.587773416,0.014021312,0.025238362,0.75035826,0.01889806,0.213733701,0.017009979
2501,355,0.763380282,0.236619718,0.788617886,0.106647537,0.076518412,0.028216165,0.107903724,0.254436144,0.594423197,0.043236935
2502,189,0.82010582,0.17989418,0.805502846,0.131878558,0.040796964,0.021821632,0.135373464,0.131150695,0.649347043,0.084128798
2701,296,0.337837838,0.662162162,0.368174727,0.553822153,0.046801872,0.031201248,0.615756621,0.003712982,0.374971008,0.005559389
2702,695,0.30647482,0.69352518,0.334725122,0.620041754,0.020876827,0.024356297,0.688697147,0.046331571,0.241803235,0.023168047
3002,148,0.364864865,0.635135135,0.230971129,0.291338583,0.43832021,0.039370078,0.402864427,0.341883661,0.166205864,0.089046048
3100,496,0.320564516,0.679435484,0.475063398,0.505494505,0.003381234,0.016060863,0.539627912,0.061489168,0.352897275,0.045985645
3101,258,0.337209302,0.662790698,0.499189627,0.471636953,0.008103728,0.021069692,0.480146988,0.075611088,0.413914392,0.030327532
3103,364,0.612637363,0.387362637,0.372222222,0.257407407,0.337037037,0.033333334,0.364569454,0.272995375,0.325805863,0.036629308
3104,592,0.337837838,0.662162162,0.4875,0.467105263,0.022368421,0.023026316,0.54148964,0.000387607,0.450106245,0.008016508
3105,61,0.344262295,0.655737705,0.551912568,0.431693989,0,0.016393443,0.426910713,0.024458695,0.536395418,0.012235174
3106,440,0.279545455,0.720454545,0.127439724,0.814006889,0.012629162,0.045924225,0.884094933,1.16E-05,0.078949559,0.036943921
3206,610,0.267213115,0.732786885,0.100441501,0.8598234,0.014348786,0.025386313,0.89245431,0.035151851,0.03710586,0.035287979
3301,392,0.25255102,0.74744898,0.113854595,0.829903978,0.009602195,0.046639232,0.913504136,5.24E-05,0.043272461,0.043171001
3303,247,0.360323887,0.639676113,0.534638554,0.435240964,0.013554217,0.016566265,0.448127963,0.000524695,0.523852023,0.027495319
3304,534,0.24906367,0.75093633,0.216350947,0.751744766,0.012961117,0.01894317,0.709396519,0.000657485,0.209527342,0.080418654
3311,735,0.255782313,0.744217687,0.247286822,0.715503876,0.015503876,0.021705426,0.672836348,0.004922991,0.299756701,0.02248396
3401,191,0.670157068,0.329842932,0.342679128,0.178608515,0.431983385,0.046728972,0.202683128,0.294219385,0.437822444,0.065275043
3504,14,0.071428571,0.928571429,0.047619048,0.857142857,0,0.095238095,0.897675116,0.003829104,0.096384574,0.002111206
3601,41,0.170731707,0.829268293,0.272727273,0.709090909,0,0.018181818,0.426824142,0.024446546,0.536519394,0.012209918
3602,827,0.244256348,0.755743652,0.054669704,0.909643128,0.007593014,0.028094154,0.854924926,0.019464592,0.067145373,0.058465109
3902,223,0.390134529,0.609865471,0.475046211,0.480591497,0.022181146,0.022181146,0.595342731,0,0.387964523,0.016692746
4002,184,0.385869565,0.614130435,0.661590525,0.301184433,0.018612521,0.018612521,0.317604245,0.084820578,0.567777853,0.029797324
4003,782,0.299232737,0.700767263,0.299071207,0.66873065,0.009287926,0.022910217,0.715509098,0.01815757,0.229412818,0.036920514
4005,298,0.228187919,0.771812081,0.170093458,0.801869159,0.001869159,0.026168224,0.876274862,0.008513911,0.1137688,0.001442427
4105,227,0.259911894,0.740088106,0.45631068,0.52038835,0.009708738,0.013592232,0.573173302,0.006776378,0.399981448,0.020068872
4106,450,0.22,0.78,0.156578947,0.811842105,0.007894737,0.023684211,0.886023016,0.010196657,0.090717878,0.013062449
4108,394,0.271573604,0.728426396,0.079303675,0.891682785,0.011605416,0.017408124,0.893668192,0.016297038,0.046318756,0.043716014
4109,635,0.313385827,0.686614173,0.534969325,0.44601227,0.004294479,0.014723926,0.508590193,0.001761538,0.468823806,0.020824463
4111,595,0.25210084,0.74789916,0.122598353,0.860018298,0.000914913,0.016468436,0.855079816,0.001987736,0.091829031,0.051103417
4112,813,0.232472325,0.767527675,0.071597168,0.891424076,0.005507474,0.031471282,0.870519807,0.013830716,0.02855661,0.087092867
4303,171,0.280701754,0.719298246,0.489130435,0.495652174,0.002173913,0.013043478,0.566651182,0,0.411925997,0.021422821
4401,278,0.258992806,0.741007194,0.35177305,0.577304965,0.024113475,0.04680851,0.624175817,0.000374582,0.323471766,0.051977835
4402,394,0.269035533,0.730964467,0.109546166,0.848200313,0.009389671,0.03286385,0.862845445,0.00920344,0.085718208,0.042232907
4501,158,0.310126582,0.689873418,0.117505995,0.829736211,0.016786571,0.035971223,0.915495484,0.000104173,0.013075841,0.071324502
4504,428,0.299065421,0.700934579,0.12,0.84173913,0.005217391,0.033043479,0.844301628,0.021091945,0.07133202,0.063274407
4602,329,0.285714286,0.714285714,0.184531886,0.791044776,0.012211669,0.012211669,0.861861886,0.012351845,0.055633633,0.070152636
4603,646,0.238390093,0.761609907,0.093784079,0.869138495,0.009814613,0.027262813,0.911123344,0.020853918,0.013447611,0.054575127
4604,274,0.218978102,0.781021898,0.07826087,0.889855072,0,0.031884058,0.883332431,0.017003073,0.059541009,0.040123487
4605,275,0.196363636,0.803636364,0.186440678,0.793528505,0.004622496,0.015408321,0.861560892,0.007933697,0.086655767,0.043849644
4606,746,0.382037534,0.617962466,0.166998012,0.780318091,0.020874751,0.031809146,0.717642274,0.001945215,0.273048069,0.007364442
4615,396,0.351010101,0.648989899,0.584876543,0.388117284,0.012345679,0.014660494,0.460305527,0.005562711,0.510348526,0.023783236
4616,186,0.215053763,0.784946237,0.522267206,0.469635628,0,0.008097166,0.683530816,4.99E-08,0.297480556,0.018988578
4618,319,0.360501567,0.639498433,0.562002275,0.43003413,0.003412969,0.004550626,0.531774008,0.007159614,0.452649944,0.008416434
4624,242,0.260330579,0.739669421,0.117166213,0.741144414,0.08719346,0.054495913,0.704619582,0.034352904,0.131953476,0.129074038
4628,180,0.355555556,0.644444444,0.680261011,0.301794454,0.006525285,0.01141925,0.446273227,6.74E-07,0.552156818,0.001569281
4802,895,0.340782123,0.659217877,0.10949464,0.839969372,0.013016845,0.037519143,0.800356207,0.007396915,0.104718423,0.087528455
5001,143,0.426573427,0.573426573,0.587962963,0.398148148,0.002314815,0.011574074,0.477453047,0.011754418,0.509539482,0.001253053
5016,297,0.259259259,0.740740741,0.178217822,0.782178218,0.011881188,0.027722772,0.933098974,0.012739265,0.025489035,0.028672726
5101,262,0.320610687,0.679389313,0.099667774,0.813953488,0.003322259,0.083056479,0.825924405,0.006446751,0.101540283,0.066088561
